iter	Logloss
0	0.5990701349
1	0.5352746496
2	0.4823451701
3	0.4425944612
4	0.4115610672
5	0.3886201185
6	0.3729410376
7	0.3590009766
8	0.347859486
9	0.3379366277
10	0.3316058034
11	0.32609839
12	0.3229234212
13	0.3179617995
14	0.3152045064
15	0.313219806
16	0.3109476424
17	0.3091390113
18	0.3080154337
19	0.3071022905
20	0.3060915304
21	0.3050105116
22	0.303845275
23	0.3028953447
24	0.3026427106
25	0.3022643089
26	0.301793871
27	0.3009819075
28	0.3008371089
29	0.2996844567
30	0.2993368622
31	0.2992238192
32	0.2989528192
33	0.2987564982
34	0.2984189066
35	0.2980965911
36	0.2977537244
37	0.2975317708
38	0.2972584978
39	0.297105657
40	0.2969081027
41	0.2966018719
42	0.2964276547
43	0.2963578635
44	0.2962086094
45	0.2960857278
46	0.2958922944
47	0.2957976686
48	0.2953236421
49	0.2952311775
50	0.2950923574
51	0.2947171957
52	0.2945579386
53	0.2944735846
54	0.2944113102
55	0.294246632
56	0.2941608664
57	0.2940255456
58	0.2939529067
59	0.293872477
60	0.2931406384
61	0.2930536336
62	0.2929169849
63	0.2928154435
64	0.2927356318
65	0.2926201184
66	0.2924856266
67	0.2923536744
68	0.2922926738
69	0.2921801902
70	0.2920852542
71	0.2919987823
72	0.2918916942
73	0.291822831
74	0.2917820072
75	0.2917417326
76	0.2916520718
77	0.2915180505
78	0.2914171081
79	0.2913286928
80	0.2912719172
81	0.2912153191
82	0.2910966738
83	0.2909718375
84	0.2908979311
85	0.2908525481
86	0.2907622361
87	0.2906340344
88	0.2905704692
89	0.2904775092
90	0.2903292892
91	0.2902897655
92	0.2901883665
93	0.2900678869
94	0.289971757
95	0.2898887296
96	0.2897840225
97	0.2897053409
98	0.2895696418
99	0.289385542
100	0.2892544691
101	0.2890559361
102	0.2889201049
103	0.288836901
104	0.2883419291
105	0.2882346109
106	0.2881716898
107	0.287899435
108	0.287820041
109	0.2877458489
110	0.2876806113
111	0.2875817073
112	0.2874964627
113	0.2874253699
114	0.2872604398
115	0.2871979844
116	0.2871038082
117	0.2869793627
118	0.2868791521
119	0.2867588899
120	0.2866901451
121	0.2865774526
122	0.2865260917
123	0.2864726449
124	0.2864139498
125	0.2863905146
126	0.2860168144
127	0.2858782461
128	0.2857633285
129	0.2856279867
130	0.2855414457
131	0.285467373
132	0.2854564084
133	0.2854370601
134	0.2853501293
135	0.2851501939
136	0.2850405448
137	0.2850306656
138	0.2849119159
139	0.2848327603
140	0.2847046842
141	0.2846199137
142	0.2845481773
143	0.2842726138
144	0.2842615303
145	0.284252051
146	0.2841081627
147	0.2839929088
148	0.2839631114
149	0.2838579537
